======================================
First 2 Excitation States
======================================
Init Jacobian = 
[0.99310585]
Wavefunction (Initialization)
Figure Saved.
Thermalization...
After Thermalization:	pmove 0.49	step_size=1.3566	time=86.54s
After MCMC, with initial network, loss=8.72
Iter:239, LossE=2.09607(0.00678)	 pmove=0.48	stepsize=0.9064	 time=1.46s
Iter:240, LossE=2.08997(0.00688)	 pmove=0.49	stepsize=0.9049	 time=1.46s
Iter:241, LossE=2.09415(0.00702)	 pmove=0.48	stepsize=0.9034	 time=1.46s
Iter:242, LossE=2.10146(0.00685)	 pmove=0.49	stepsize=0.9019	 time=1.46s
Iter:243, LossE=2.10154(0.00694)	 pmove=0.48	stepsize=0.9003	 time=1.46s
Iter:244, LossE=2.10577(0.00729)	 pmove=0.49	stepsize=0.8988	 time=1.46s
Iter:245, LossE=2.09494(0.00672)	 pmove=0.49	stepsize=0.8973	 time=1.46s
Iter:246, LossE=2.10875(0.00731)	 pmove=0.49	stepsize=0.8958	 time=1.46s
Iter:247, LossE=2.09315(0.00723)	 pmove=0.49	stepsize=0.8943	 time=1.46s
Iter:248, LossE=2.08857(0.00687)	 pmove=0.49	stepsize=0.8928	 time=1.46s
Iter:249, LossE=2.09663(0.00696)	 pmove=0.49	stepsize=0.8913	 time=1.46s
Iter:250, LossE=2.09094(0.00638)	 pmove=0.49	stepsize=0.8898	 time=1.46s
Iter:251, LossE=2.07142(0.00614)	 pmove=0.49	stepsize=0.8883	 time=1.46s
Iter:252, LossE=2.07903(0.00590)	 pmove=0.49	stepsize=0.8868	 time=1.46s
Iter:253, LossE=2.08036(0.00674)	 pmove=0.49	stepsize=0.8853	 time=1.46s
Iter:254, LossE=2.08142(0.00650)	 pmove=0.49	stepsize=0.8839	 time=1.46s
Iter:255, LossE=2.07480(0.00643)	 pmove=0.49	stepsize=0.8824	 time=1.46s
Iter:256, LossE=2.08007(0.00683)	 pmove=0.49	stepsize=0.8809	 time=1.46s
Iter:257, LossE=2.07875(0.00601)	 pmove=0.49	stepsize=0.8794	 time=1.46s
Iter:258, LossE=2.07465(0.00630)	 pmove=0.49	stepsize=0.8779	 time=1.46s
Iter:259, LossE=2.07854(0.00656)	 pmove=0.49	stepsize=0.8765	 time=1.46s
Iter:260, LossE=2.07647(0.00632)	 pmove=0.50	stepsize=0.8750	 time=1.46s
Iter:261, LossE=2.06237(0.00585)	 pmove=0.49	stepsize=0.8735	 time=1.46s
Iter:262, LossE=2.07120(0.00613)	 pmove=0.49	stepsize=0.8721	 time=1.46s
Iter:263, LossE=2.06971(0.00621)	 pmove=0.50	stepsize=0.8706	 time=1.46s
Iter:264, LossE=2.06477(0.00568)	 pmove=0.50	stepsize=0.8691	 time=1.46s
Iter:265, LossE=2.06156(0.00666)	 pmove=0.50	stepsize=0.8677	 time=1.46s
Iter:266, LossE=2.06548(0.00619)	 pmove=0.50	stepsize=0.8662	 time=1.46s
Iter:267, LossE=2.06023(0.00570)	 pmove=0.50	stepsize=0.8648	 time=1.46s
Iter:268, LossE=2.07446(0.00632)	 pmove=0.50	stepsize=0.8633	 time=1.46s
Iter:269, LossE=2.05567(0.00605)	 pmove=0.50	stepsize=0.8619	 time=1.46s
Iter:270, LossE=2.05482(0.00598)	 pmove=0.50	stepsize=0.8604	 time=1.46s
Iter:271, LossE=2.05446(0.00596)	 pmove=0.50	stepsize=0.8590	 time=1.46s
Iter:272, LossE=2.05949(0.00585)	 pmove=0.50	stepsize=0.8575	 time=1.46s
Iter:273, LossE=2.05603(0.00533)	 pmove=0.50	stepsize=0.8561	 time=1.46s
Iter:274, LossE=2.05318(0.00520)	 pmove=0.50	stepsize=0.8546	 time=1.46s
Iter:275, LossE=2.05460(0.00560)	 pmove=0.50	stepsize=0.8532	 time=1.46s
Iter:276, LossE=2.05109(0.00574)	 pmove=0.50	stepsize=0.8518	 time=1.46s
Iter:277, LossE=2.05165(0.00543)	 pmove=0.50	stepsize=1.0393	 time=1.46s
Iter:278, LossE=2.05453(0.00597)	 pmove=0.50	stepsize=1.0376	 time=1.46s
